Category;product;Date;Price per unit;Count
Пищевые злаки;Органические продукты питания;15.02.2022;155.0;13.0
Закуски;Лапша;25.02.2022;280.0;24.0
Фрукты и овощи;Свежие овощи;17.02.2022;274.0;23.0
Закуски;Печенье;24.04.2022;140.0;12.0
Масло;Топленое масло;24.03.2022;222.0;19.0
Напитки;Прохладительные напитки;07.04.2022;296.0;25.0
Пищевые злаки;Бобовые и макаронные культуры;27.03.2022;186.0;16.0
Напитки;Безалкогольные напитки;09.04.2022;90.0;8.0
Яйца, мясо и рыба;Рыба;14.04.2022;93.0;8.0
Закуски;Шоколадные конфеты;03.06.2022;126.0;11.0
Закуски;Печенье;07.01.2022;190.0;16.0
Зерновые продукты;Мука;26.06.2022;181.0;16.0
Напитки;Напитки для здоровья;04.01.2022;212.0;11.0
Закуски;Шоколадные конфеты;27.05.2022;253.0;13.0
Яйца, мясо и рыба;Баранина;04.04.2022;293.0;15.0
Масло;Специи;17.04.2022;89.0;5.0
Яйца, мясо и рыба;Курица;25.04.2022;152.0;8.0
Пищевые злаки;Крупа;02.02.2022;69.0;4.0
Напитки;Напитки для здоровья;02.02.2022;177.0;9.0
Пищевые злаки;Крупа;10.02.2022;99.0;5.0
Фрукты и овощи;Органические овощи;27.02.2022;310.0;16.0
Фрукты и овощи;Свежие овощи;29.06.2022;219.0;11.0
Фрукты и овощи;Органические фрукты;10.02.2022;247.0;13.0
Масло;Специи;19.02.2022;254.0;13.0
Закуски;Лапша;03.04.2022;127.0;7.0
Фрукты и овощи;Органические фрукты;10.06.2022;87.0;5.0
Пищевые злаки;Мука;26.03.2022;166.0;9.0
Закуски;Печенье;23.05.2022;201.0;11.0
Напитки;Напитки для здоровья;15.06.2022;215.0;11.0
Масло;Топленое масло;30.05.2022;273.0;14.0
Пищевые злаки;Органические основные продукты питания;17.02.2022;73.0;4.0
Пищевые злаки;Крупа;19.01.2022;98.0;5.0
Снеки;Лапша;11.03.2022;174.0;9.0
Хлебобулочные изделия;Торты;28.06.2022;283.0;15.0
Напитки;Прохладительные напитки;24.04.2022;102.0;6.0
Фрукты и овощи;Органические фрукты;18.02.2022;252.0;13.0
Напитки;Прохладительные напитки;25.06.2022;180.0;9.0
Фрукты и овощи;Органические фрукты;26.06.2022;262.0;14.0
Фрукты и овощи;Свежие овощи;08.04.2022;269.0;14.0
Напитки;Напитки для здоровья;27.05.2022;247.0;13.0
Масло;Подсолнечное масло;30.03.2022;258.0;13.0
Яйца, мясо и рыба;Яйца;27.04.2022;147.0;8.0
Масло;Топленое масло;16.06.2022;126.0;7.0
Хлебобулочные изделия;Хлеб и булочки;12.01.2022;177.0;9.0
Пищевые злаки;Органические продукты питания;05.05.2022;115.0;6.0
Яйца, мясо и рыба;Баранина;12.01.2022;169.0;9.0
